"","year","iso3c","sector","co2e_emissions"
"336",1988,"AFG","Power Industry",0.6638567129848
"337",1988,"AFG","Buildings",0.91486732890168
"338",1988,"AFG","Transport",0.65092777495805
"339",1988,"AFG","Other industrial combustion",0.387903662764688
"340",1988,"AFG","Other sectors",10.9294544274994
"341",1989,"AFG","Power Industry",0.5925624281202
"342",1989,"AFG","Buildings",1.02707196346452
"343",1989,"AFG","Transport",0.5779000329873
"344",1989,"AFG","Other industrial combustion",0.34019731130662
"345",1989,"AFG","Other sectors",10.3223142429644
"346",1990,"AFG","Power Industry",0.586840413163
"347",1990,"AFG","Buildings",1.16866193053992
"348",1990,"AFG","Transport",0.5662898409511
"349",1990,"AFG","Other industrial combustion",0.31443646112988
"350",1990,"AFG","Other sectors",10.3267705968993
"351",1991,"AFG","Power Industry",0.544772257385
"352",1991,"AFG","Buildings",1.1012947248489
"353",1991,"AFG","Transport",0.55502243550945
"354",1991,"AFG","Other industrial combustion",0.28742751764368
"355",1991,"AFG","Other sectors",10.5450369519944
"356",1992,"AFG","Power Industry",0.3196410383389
"357",1992,"AFG","Buildings",0.80218338338522
"358",1992,"AFG","Transport",0.3381357038624
"359",1992,"AFG","Other industrial combustion",0.0693459832817
"360",1992,"AFG","Other sectors",10.6528265161794
"361",1993,"AFG","Power Industry",0.3382128309178
"362",1993,"AFG","Buildings",0.67785914488888
"363",1993,"AFG","Transport",0.3416502815933
"364",1993,"AFG","Other industrial combustion",0.06680267561558
"365",1993,"AFG","Other sectors",10.8634115450832
"366",1994,"AFG","Power Industry",0.2189310616578
"367",1994,"AFG","Buildings",0.74183481791634
"368",1994,"AFG","Transport",0.3400259941923
"369",1994,"AFG","Other industrial combustion",0.0914407466322
"370",1994,"AFG","Other sectors",10.941616927649
"371",1995,"AFG","Power Industry",0.3817579113502
"372",1995,"AFG","Buildings",0.57314319935564
"373",1995,"AFG","Transport",0.3429271116176
"374",1995,"AFG","Other industrial combustion",0.0940917256414
"375",1995,"AFG","Other sectors",11.4397669463282
"376",1996,"AFG","Power Industry",0.3873215964937
"377",1996,"AFG","Buildings",0.47261261356394
"378",1996,"AFG","Transport",0.3304143715817
"379",1996,"AFG","Other industrial combustion",0.08488595013884
"380",1996,"AFG","Other sectors",12.7102190009586
"381",1997,"AFG","Power Industry",0.3786662364908
"382",1997,"AFG","Buildings",0.50148175240496
"383",1997,"AFG","Transport",0.2705788555228
"384",1997,"AFG","Other industrial combustion",0.07636529861814
"385",1997,"AFG","Other sectors",13.7526091225146
"386",1998,"AFG","Power Industry",0.474172037966
"387",1998,"AFG","Buildings",0.45362161975902
"388",1998,"AFG","Transport",0.26514178481485
"389",1998,"AFG","Other industrial combustion",0.07666727235502
