"","year","iso3c","gdp"
"462",2028,"CHN",3.455896e+13
"463",2029,"CHN",3.577669e+13
"464",2030,"CHN",3.697671e+13
"465",2031,"CHN",3.815528e+13
"466",2032,"CHN",3.930947e+13
"467",2033,"CHN",4.043556e+13
"468",2034,"CHN",4.152945e+13
"469",2035,"CHN",4.258753e+13
"470",2036,"CHN",4.360762e+13
"471",2037,"CHN",4.458865e+13
"472",2038,"CHN",4.553114e+13
"473",2039,"CHN",4.643627e+13
"474",2040,"CHN",4.730581e+13
"475",2041,"CHN",4.81421e+13
"476",2042,"CHN",4.894785e+13
"477",2043,"CHN",4.972636e+13
"478",2044,"CHN",5.048121e+13
"479",2045,"CHN",5.121627e+13
"480",2046,"CHN",5.193604e+13
"481",2047,"CHN",5.264564e+13
"482",2048,"CHN",5.335057e+13
"483",2049,"CHN",5.405581e+13
"484",2050,"CHN",5.476528e+13
"485",2051,"CHN",5.548159e+13
"486",2052,"CHN",5.620548e+13
"487",2053,"CHN",5.693611e+13
"488",2054,"CHN",5.767156e+13
"489",2055,"CHN",5.841003e+13
"490",2056,"CHN",5.915073e+13
"491",2057,"CHN",5.989405e+13
"492",2058,"CHN",6.064027e+13
"493",2059,"CHN",6.138907e+13
"494",2060,"CHN",6.213979e+13
"495",1990,"COL",259317081644.382
"496",1991,"COL",266550008608.349
"497",1992,"COL",278074603549.233
"498",1993,"COL",293999351971.894
"499",1994,"COL",310486282729.625
"500",1995,"COL",327021044383.009
"501",1996,"COL",332214307982.677
"502",1997,"COL",342826950995.207
"503",1998,"COL",344898505392.289
"504",1999,"COL",326994853982.463
"505",2000,"COL",335395998436.733
"506",2001,"COL",341023701801.128
"507",2002,"COL",349562468704.538
"508",2003,"COL",363260100014.43
"509",2004,"COL",382632549236.33
"510",2005,"COL",400641375779.744
"511",2006,"COL",427551930850.955
"512",2007,"COL",456361212356.437
"513",2008,"COL",471345587178.693
"514",2009,"COL",476717270778.507
"515",2010,"COL",498144086354.474
"516",2011,"COL",532754599387.785
"517",2012,"COL",553599346394.628
"518",2013,"COL",582021100965.051
"519",2014,"COL",608206404910.258
"520",2015,"COL",626184386397.513
"521",2016,"COL",639255249707.1
"522",2017,"COL",647945035417.535
"523",2018,"COL",664560447299.796
"524",2019,"COL",686365451812.384
"525",2020,"COL",639721715977.635
"526",2021,"COL",688595765995.188
"527",2022,"COL",713011200183.336
"528",2023,"COL",736483200000
"529",2024,"COL",759412100000
"530",2025,"COL",782222500000
"531",2026,"COL",804690900000
"532",2027,"COL",826558300000
"533",2028,"COL",847840300000
"534",2029,"COL",868597500000
"535",2030,"COL",888825800000
"536",2031,"COL",908503900000
"537",2032,"COL",927604400000
"538",2033,"COL",946115100000
"539",2034,"COL",964033200000
"540",2035,"COL",981370200000
"541",2036,"COL",998151700000
"542",2037,"COL",1.014405e+12
"543",2038,"COL",1.030161e+12
"544",2039,"COL",1.045456e+12
"545",2040,"COL",1.060325e+12
"546",2041,"COL",1.074808e+12
"547",2042,"COL",1.088928e+12
"548",2043,"COL",1.102707e+12
"549",2044,"COL",1.116164e+12
"550",2045,"COL",1.129315e+12
"551",2046,"COL",1.142176e+12
"552",2047,"COL",1.154731e+12
"553",2048,"COL",1.166967e+12
"554",2049,"COL",1.178864e+12
"555",2050,"COL",1.190411e+12
"556",2051,"COL",1.201614e+12
"557",2052,"COL",1.212478e+12
"558",2053,"COL",1.223014e+12
"559",2054,"COL",1.233239e+12
"560",2055,"COL",1.243187e+12
"561",2056,"COL",1.252909e+12
"562",2057,"COL",1.262436e+12
"563",2058,"COL",1.271824e+12
"564",2059,"COL",1.281148e+12
"565",2060,"COL",1.290494e+12
"566",1991,"CRI",29233146818.6822
"567",1992,"CRI",31922918981.0861
"568",1993,"CRI",34188549591.49
"569",1994,"CRI",35733539850.1183
"570",1995,"CRI",37217894318.3664
"571",1996,"CRI",37720506904.6526
"572",1997,"CRI",39786144389.773
"573",1998,"CRI",42632965794.4342
"574",1999,"CRI",44429864799.1097
"575",2000,"CRI",46148731014.9588
"576",2001,"CRI",47759861619.9024
"577",2002,"CRI",49391757058.671
"578",2003,"CRI",51524088047.2281
"579",2004,"CRI",53803822640.9832
"580",2005,"CRI",55943421159.0439
"581",2006,"CRI",60042225243.4951
"582",2007,"CRI",64974773290.2096
"583",2008,"CRI",68053391678.8114
"584",2009,"CRI",67458975283.3268
"585",2010,"CRI",71075008095.8962
