"","year","code_state","level_one","level_two","emissions_type","co2e_emissions"
"205",1983,"BR","Processos Industriais","Produção de Metais","net",18934079.7607587
"206",1983,"BR","Processos Industriais","Produtos Minerais","net",12059210.2534762
"207",1983,"BR","Processos Industriais","Uso de SF6","net",0
"208",1983,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"209",1983,"BR","Resíduos","Resíduos Sólidos","net",4950798.51363493
"210",1983,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",13583642.6511865
"211",1984,"BR","Agropecuária","Cultivo de Arroz","net",9016587.0284
"212",1984,"BR","Agropecuária","Fermentação Entérica","net",245246752.43404
"213",1984,"BR","Agropecuária","Manejo de Dejetos Animais","net",14745213.08073
"214",1984,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1706656.69532
"215",1984,"BR","Agropecuária","Solos Manejados","net",69934347.40934
"216",1984,"BR","Energia","Emissões Fugitivas","net",10413872.3586959
"217",1984,"BR","Energia","Emissões pela Queima de Combustíveis","net",155323428.722995
"218",1984,"BR","Processos Industriais","Emissões de HFCs","net",0
"219",1984,"BR","Processos Industriais","Indústria Química","net",5774868.17806863
"220",1984,"BR","Processos Industriais","Produção de Metais","net",24540595.9142084
"221",1984,"BR","Processos Industriais","Produtos Minerais","net",11569903.0052898
"222",1984,"BR","Processos Industriais","Uso de SF6","net",0
"223",1984,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"224",1984,"BR","Resíduos","Resíduos Sólidos","net",5640761.41979089
"225",1984,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",13902012.4151323
"226",1985,"BR","Agropecuária","Cultivo de Arroz","net",9229452.1046
"227",1985,"BR","Agropecuária","Fermentação Entérica","net",246797749.26212
"228",1985,"BR","Agropecuária","Manejo de Dejetos Animais","net",14951479.83072
"229",1985,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",2007768.68071
"230",1985,"BR","Agropecuária","Solos Manejados","net",70873234.73105
"231",1985,"BR","Energia","Emissões Fugitivas","net",10963651.5211181
"232",1985,"BR","Energia","Emissões pela Queima de Combustíveis","net",161404484.79541
"233",1985,"BR","Processos Industriais","Emissões de HFCs","net",0
"234",1985,"BR","Processos Industriais","Indústria Química","net",5584780.15323991
"235",1985,"BR","Processos Industriais","Produção de Metais","net",27471012.1404519
"236",1985,"BR","Processos Industriais","Produtos Minerais","net",12360625.7460935
"237",1985,"BR","Processos Industriais","Uso de SF6","net",0
"238",1985,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",454175.4894336
"239",1985,"BR","Resíduos","Resíduos Sólidos","net",6353712.64857894
"240",1985,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",14205588.651256
"241",1986,"BR","Agropecuária","Cultivo de Arroz","net",9069758.4166
"242",1986,"BR","Agropecuária","Fermentação Entérica","net",254202220.25968
"243",1986,"BR","Agropecuária","Manejo de Dejetos Animais","net",15259457.48946
"244",1986,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1860723.67259
"245",1986,"BR","Agropecuária","Solos Manejados","net",72380511.48678
"246",1986,"BR","Energia","Emissões Fugitivas","net",11197499.5719935
"247",1986,"BR","Energia","Emissões pela Queima de Combustíveis","net",179091080.347693
"248",1986,"BR","Processos Industriais","Emissões de HFCs","net",0
"249",1986,"BR","Processos Industriais","Indústria Química","net",5988744.28279901
"250",1986,"BR","Processos Industriais","Produção de Metais","net",27829062.7653252
"251",1986,"BR","Processos Industriais","Produtos Minerais","net",14322864.4118246
"252",1986,"BR","Processos Industriais","Uso de SF6","net",0
"253",1986,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",449214.834816
"254",1986,"BR","Resíduos","Resíduos Sólidos","net",7092418.81957298
"255",1986,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",14550951.9728397
"256",1987,"BR","Agropecuária","Cultivo de Arroz","net",9604192.22532
"257",1987,"BR","Agropecuária","Fermentação Entérica","net",260927509.32472
"258",1987,"BR","Agropecuária","Manejo de Dejetos Animais","net",15719008.67229
"259",1987,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1987358.04323
"260",1987,"BR","Agropecuária","Solos Manejados","net",75077353.47126
"261",1987,"BR","Energia","Emissões Fugitivas","net",10956063.7902462
"262",1987,"BR","Energia","Emissões pela Queima de Combustíveis","net",182430491.1514
"263",1987,"BR","Processos Industriais","Emissões de HFCs","net",0
"264",1987,"BR","Processos Industriais","Indústria Química","net",5998732.3333414
"265",1987,"BR","Processos Industriais","Produção de Metais","net",31083352.4589765
"266",1987,"BR","Processos Industriais","Produtos Minerais","net",14569447.7479106
"267",1987,"BR","Processos Industriais","Uso de SF6","net",0
"268",1987,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",399608.28864
"269",1987,"BR","Resíduos","Resíduos Sólidos","net",7859476.32634058
"270",1987,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",14858915.3160596
"271",1988,"BR","Agropecuária","Cultivo de Arroz","net",10164890.80208
"272",1988,"BR","Agropecuária","Fermentação Entérica","net",268211525.10992
"273",1988,"BR","Agropecuária","Manejo de Dejetos Animais","net",16163335.27022
"274",1988,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1947470.38301
"275",1988,"BR","Agropecuária","Solos Manejados","net",76641700.0923
"276",1988,"BR","Energia","Emissões Fugitivas","net",11251968.3526062
"277",1988,"BR","Energia","Emissões pela Queima de Combustíveis","net",182918273.967251
"278",1988,"BR","Processos Industriais","Emissões de HFCs","net",0
"279",1988,"BR","Processos Industriais","Indústria Química","net",5927847.99018349
"280",1988,"BR","Processos Industriais","Produção de Metais","net",34487149.2364015
"281",1988,"BR","Processos Industriais","Produtos Minerais","net",14599439.9505935
"282",1988,"BR","Processos Industriais","Uso de SF6","net",0
"283",1988,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",380297.40046848
"284",1988,"BR","Resíduos","Resíduos Sólidos","net",8657494.0925507
"285",1988,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",15157489.795189
"286",1989,"BR","Agropecuária","Cultivo de Arroz","net",10273710.62956
"287",1989,"BR","Agropecuária","Fermentação Entérica","net",276733581.06072
"288",1989,"BR","Agropecuária","Manejo de Dejetos Animais","net",16760727.49429
"289",1989,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1844526.26252
"290",1989,"BR","Agropecuária","Solos Manejados","net",79473791.10601
"291",1989,"BR","Energia","Emissões Fugitivas","net",11005898.8403022
"292",1989,"BR","Energia","Emissões pela Queima de Combustíveis","net",185500625.813659
"293",1989,"BR","Processos Industriais","Emissões de HFCs","net",0
"294",1989,"BR","Processos Industriais","Indústria Química","net",6173550.44355027
"295",1989,"BR","Processos Industriais","Produção de Metais","net",34085997.1231135
"296",1989,"BR","Processos Industriais","Produtos Minerais","net",14951631.8102636
"297",1989,"BR","Processos Industriais","Uso de SF6","net",0
"298",1989,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",407329.01663256
"299",1989,"BR","Resíduos","Resíduos Sólidos","net",9489337.97948243
"300",1989,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",15537063.6806098
"301",1990,"BR","Agropecuária","Cultivo de Arroz","net",9272834.93388
"302",1990,"BR","Agropecuária","Fermentação Entérica","net",282683054.983
"303",1990,"BR","Agropecuária","Manejo de Dejetos Animais","net",17022802.51613
"304",1990,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1886873.01049
"305",1990,"BR","Agropecuária","Solos Manejados","net",79587469.45309
"306",1990,"BR","Energia","Emissões Fugitivas","net",10101748.9114933
"307",1990,"BR","Energia","Emissões pela Queima de Combustíveis","net",183571390.518764
"308",1990,"BR","Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","net",1309669451
"309",1990,"BR","Mudança de Uso da Terra e Floresta","Remoção em Áreas Protegidas","net",-93634895
"310",1990,"BR","Mudança de Uso da Terra e Floresta","Remoção por Mudança de Uso da Terra","net",-2359949
"311",1990,"BR","Mudança de Uso da Terra e Floresta","Remoção por Vegetação Secundária","net",-54201
"312",1990,"BR","Mudança de Uso da Terra e Floresta","Resíduos Florestais","net",81356466
"313",1990,"BR","Processos Industriais","Emissões de HFCs","net",1492276
"314",1990,"BR","Processos Industriais","Indústria Química","net",5353519.648752
"315",1990,"BR","Processos Industriais","Produção de Metais","net",29106932.357723
"316",1990,"BR","Processos Industriais","Produtos Minerais","net",14998012.324817
"317",1990,"BR","Processos Industriais","Uso de SF6","net",98700
"318",1990,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",428073.800219691
"319",1990,"BR","Resíduos","Resíduos Sólidos","net",10365115.9685
"320",1990,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",17941820.6787147
"321",1991,"BR","Agropecuária","Cultivo de Arroz","net",10087949.4688
"322",1991,"BR","Agropecuária","Fermentação Entérica","net",292330621.39176
"323",1991,"BR","Agropecuária","Manejo de Dejetos Animais","net",17703446.97848
"324",1991,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1861054.94608
"325",1991,"BR","Agropecuária","Solos Manejados","net",81484527.21781
"326",1991,"BR","Energia","Emissões Fugitivas","net",10021134.3540307
"327",1991,"BR","Energia","Emissões pela Queima de Combustíveis","net",188053348.444635
"328",1991,"BR","Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","net",1382217603
"329",1991,"BR","Mudança de Uso da Terra e Floresta","Remoção em Áreas Protegidas","net",-63670648
"330",1991,"BR","Mudança de Uso da Terra e Floresta","Remoção por Mudança de Uso da Terra","net",-3633752
"331",1991,"BR","Mudança de Uso da Terra e Floresta","Remoção por Vegetação Secundária","net",-15431837
"332",1991,"BR","Mudança de Uso da Terra e Floresta","Resíduos Florestais","net",84257976
"333",1991,"BR","Processos Industriais","Emissões de HFCs","net",1707588
"334",1991,"BR","Processos Industriais","Indústria Química","net",5875877.0382216
"335",1991,"BR","Processos Industriais","Produção de Metais","net",34018727.3906321
"336",1991,"BR","Processos Industriais","Produtos Minerais","net",15788335.8309587
"337",1991,"BR","Processos Industriais","Uso de SF6","net",94000
"338",1991,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",411672.505192117
"339",1991,"BR","Resíduos","Resíduos Sólidos","net",11375780.1296582
"340",1991,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",18385478.9044205
"341",1992,"BR","Agropecuária","Cultivo de Arroz","net",10797257.324
"342",1992,"BR","Agropecuária","Fermentação Entérica","net",296449363.4144
"343",1992,"BR","Agropecuária","Manejo de Dejetos Animais","net",18088171.02301
"344",1992,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1896234.9267
"345",1992,"BR","Agropecuária","Solos Manejados","net",84123382.24335
"346",1992,"BR","Energia","Emissões Fugitivas","net",9840153.12670341
"347",1992,"BR","Energia","Emissões pela Queima de Combustíveis","net",192321779.219803
"348",1992,"BR","Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","net",1613968896
"349",1992,"BR","Mudança de Uso da Terra e Floresta","Remoção em Áreas Protegidas","net",-93421872
"350",1992,"BR","Mudança de Uso da Terra e Floresta","Remoção por Mudança de Uso da Terra","net",-3538279
"351",1992,"BR","Mudança de Uso da Terra e Floresta","Remoção por Vegetação Secundária","net",-28199635
"352",1992,"BR","Mudança de Uso da Terra e Floresta","Resíduos Florestais","net",101749699
"353",1992,"BR","Processos Industriais","Emissões de HFCs","net",2039690
"354",1992,"BR","Processos Industriais","Indústria Química","net",5672926.8815196
"355",1992,"BR","Processos Industriais","Produção de Metais","net",34338517.6464941
"356",1992,"BR","Processos Industriais","Produtos Minerais","net",13932263.6282148
"357",1992,"BR","Processos Industriais","Uso de SF6","net",94000
